Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
1;1;36;Christian Früchtl;Deutschland;0;0;0;
2;1;42;Ron Thorben Hofmann;Deutschland;0;0;0;
3;1;1;Manuel Neuer;Deutschland;3;0;0;
4;1;22;Tom Starke;Deutschland;2;0;0;
5;1;26;Sven Ulreich;Deutschland;23;0;0;
6;1;37;Leo Weinkauf;Deutschland;0;0;0;
7;1;27;David Alaba;Österreich;22;1;0;
8;1;14;Juan Bernat;Spanien;7;0;0;
9;1;17;Jerome Boateng;Deutschland;17;1;0;
10;1;13;Rafinha;Brasilien;21;0;0;
11;1;20;Felix Götze;Deutschland;0;0;0;
12;1;5;Mats Hummels;Deutschland;22;1;0;
13;1;32;Joshua Kimmich;Deutschland;24;1;0;
14;1;4;Niklas Süle;Deutschland;21;1;0;
15;1;6;Thiago;Spanien;14;1;0;
16;1;40;Fabian Benko;Deutschland;0;0;0;
17;1;30;Niklas Dorsch;Deutschland;0;0;0;
18;1;8;Javi Martinez;Spanien;18;1;0;
19;1;7;Franck Ribery;Frankreich;18;5;0;
20;1;10;Arjen Robben;Niederlande;19;4;0;
21;1;11;James ;Kolumbien;18;5;0;
22;1;19;Sebastian Rudy;Deutschland;19;0;0;
23;1;16;Meritan Shabani;Albanien;0;0;0;
24;1;24;Corentin Tolisso;Frankreich;21;3;0;
25;1;23;Arturo Vidal;Chile;22;6;0;
26;1;29;Kingsley Coman;Frankreich;21;3;0;
27;1;11;Douglas Costa;Brasilien;0;0;0;
28;1;9;Robert Lewandowski;Polen;26;26;0;
29;1;25;Thomas Müller;Deutschland;24;7;0;
30;1;41;Milos Pantovic;Serbien;0;0;0;
31;1;2;Sandro Wagner;Deutschland;8;4;0;
32;1;38;Manuel Wintzheimer;Deutschland;0;0;0;
33;2;1;Ralf Fährmann;Deutschland;28;0;0;
34;2;34;Michael Langer;Österreich;0;0;0;
35;2;35;Alexander Nübel;Deutschland;0;0;0;
36;2;14;Abdul Rahman Baba;Ghana;0;0;0;
37;2;3;Pablo Insua;Spanien;1;0;0;
38;2;20;Thilo Kehrer;Deutschland;22;1;0;
39;2;5;Matija Nastasic;Serbien;23;0;0;
40;2;24;Bastian Oczipka;Deutschland;26;0;0;
41;2;21;Sascha Riether;Deutschland;0;0;0;
42;2;29;Naldo;Brasilien;28;5;0;
43;2;10;Nabil Bentaleb;Algerien;12;4;0;
44;2;18;Daniel Caligiuri;Italien;27;5;0;
45;2;8;Leon Goretzka;Deutschland;20;4;0;
46;2;25;Amine Harit;Marokko;25;3;0;
47;2;11;Yevgen Konoplyanka;Ukraine;22;2;0;
